 
--- [START 2017-02-25 13:02:39] ----------------------------------------------------------------

** some experiment setting **
	SEED    = 202
	file    = /root/share/project/udacity/project2_01/traffic_sign_trainer.py
	out_dir = /root/share/out/udacity/20

** some data setting **
	height, width, channel = 32, 32, 3
	num_test  = 12630
	num_valid = 3000
	num_train = 36209
	num_train (after flip)= 62187
	num_argument = 860000

** some solver setting **
	batch_size = 128
	max_run  = 9
	steps    = (0, 3, 6, 8)
	rates    = (0.1, 0.01, 0.001, 0.0001)

	keep     = 0.200000
	num_per_class = 20000

** net constuction source: **
def DenseNet_3( input_shape=(1,1,1), output_shape = (1)):

    H, W, C   = input_shape
    num_class = output_shape
    input     = tf.placeholder(shape=[None, H, W, C], dtype=tf.float32, name='input')

    #color preprocessing using conv net:
    #see "Systematic evaluation of CNN advances on the ImageNet"-Dmytro Mishkin, Nikolay Sergievskiy, Jiri Matas, ARXIV 2016
    # https://arxiv.org/abs/1606.02228
    # we use learnable prelu (different from paper) and 3x3 onv
    with tf.variable_scope('preprocess') as scope:
        input = bn(input, name='b1')
        input = conv2d(input, num_kernels=8, kernel_size=(3, 3), stride=[1, 1, 1, 1], padding='SAME', has_bias=True, name='c1')
        input = prelu(input, name='r1')
        input = conv2d(input, num_kernels=8, kernel_size=(1, 1), stride=[1, 1, 1, 1], padding='SAME', has_bias=True, name='c2')
        input = prelu(input, name='r2')

    with tf.variable_scope('block1') as scope:
        block1 = conv2d_bn_relu(input, num_kernels=32, kernel_size=(5, 5), stride=[1, 1, 1, 1], padding='SAME')
        block1 = maxpool(block1, kernel_size=(2,2), stride=[1, 2, 2, 1], padding='SAME')

    # we use conv-bn-relu in DENSE block (different from paper).dropout is taken out of the block
    with tf.variable_scope('block2') as scope:
        block2 = dense_block_cbr(block1, num=4, num_kernels=16, kernel_size=(3, 3), drop=None)
        block2 = maxpool(block2, kernel_size=(2, 2), stride=[1, 2, 2, 1], padding='SAME')

    with tf.variable_scope('block3') as scope:
        block3 = dense_block_cbr(block2, num=4, num_kernels=24, kernel_size=(3, 3), drop=None)
        block3 = dropout(block3, keep=0.9)
        block3 = maxpool(block3,  kernel_size=(2,2), stride=[1, 2, 2, 1], padding='SAME')

    with tf.variable_scope('block4') as scope:
        block4 = dense_block_cbr(block3, num=4, num_kernels=32, kernel_size=(3, 3), drop=None)
        block4 = conv2d_bn_relu(block4, num_kernels=num_class, kernel_size=(1,1), stride=[1, 1, 1, 1], padding='SAME')
        block4 = dropout(block4, keep=0.8)
        block4 = avgpool(block4, is_global_pool=True)

    logit = block4
    return logit
-------------------------------


net summary : 
	num of conv     = 16
	all mac         = 27.0 (M)
	all param_size  = 0.4 (M)


 run  epoch   iter    rate      |  train_loss    (acc)     |  valid_loss    (acc)     |     
--------------------------------------------------------------------------------------------
 0.1    2.0   00566   0.100000  |  0.672168    (0.765625)  |  0.348899    (0.887667)  |       2.8 min  
 0.2    4.0   01132   0.100000  |  0.321161    (0.921875)  |  0.162553    (0.949000)  |       3.3 min  
 0.3    6.0   01698   0.100000  |  0.211609    (0.929688)  |  0.024789    (0.993333)  |       3.7 min  
 0.3    8.0   02264   0.100000  |  0.143025    (0.976562)  |  0.037956    (0.987000)  |       4.2 min  
 0.4   10.0   02830   0.100000  |  0.113731    (0.968750)  |  0.056130    (0.981333)  |       4.6 min  
 0.5   12.0   03396   0.100000  |  0.211394    (0.937500)  |  0.061882    (0.980667)  |       5.1 min  
 0.6   14.0   03962   0.100000  |  0.114329    (0.968750)  |  0.038405    (0.988667)  |       5.5 min  
 0.7   16.0   04528   0.100000  |  0.091791    (0.960938)  |  0.021111    (0.994333)  |       6.0 min  
 0.8   18.0   05094   0.100000  |  0.113265    (0.960938)  |  0.079799    (0.977000)  |       6.4 min  
 0.8   20.0   05660   0.100000  |  0.087412    (0.984375)  |  0.100011    (0.971667)  |       6.9 min  
 0.9   22.0   06226   0.100000  |  0.103682    (0.984375)  |  0.049890    (0.984667)  |       7.3 min  
 1.0   24.0   06792   0.100000  |  0.094415    (0.976562)  |  0.022964    (0.993333)  |      10.2 min  
 1.1   26.0   07358   0.100000  |  0.139149    (0.968750)  |  0.062875    (0.980667)  |      10.7 min  
 1.2   28.0   07924   0.100000  |  0.058842    (0.992188)  |  0.019937    (0.992333)  |      11.1 min  
 1.3   30.0   08490   0.100000  |  0.147280    (0.953125)  |  0.029883    (0.991333)  |      11.6 min  
 1.3   32.0   09056   0.100000  |  0.062341    (0.984375)  |  0.014457    (0.997000)  |      12.0 min  
 1.4   34.0   09622   0.100000  |  0.246125    (0.953125)  |  0.015957    (0.994333)  |      12.5 min  
 1.5   36.0   10188   0.100000  |  0.077645    (0.976562)  |  0.037441    (0.988000)  |      13.0 min  
 1.6   38.0   10754   0.100000  |  0.070650    (0.976562)  |  0.071707    (0.975000)  |      13.4 min  
 1.7   40.0   11320   0.100000  |  0.109818    (0.968750)  |  0.052181    (0.985000)  |      13.9 min  
 1.8   42.0   11886   0.100000  |  0.061149    (0.984375)  |  0.147608    (0.959000)  |      14.3 min  
 1.9   44.0   12452   0.100000  |  0.053912    (0.992188)  |  0.025094    (0.992667)  |      14.8 min  
 1.9   46.0   13018   0.100000  |  0.064889    (0.976562)  |  0.036145    (0.989667)  |      15.2 min  
 2.0   48.0   13584   0.100000  |  0.126535    (0.960938)  |  0.046641    (0.987667)  |      18.1 min  
 2.1   50.0   14150   0.100000  |  0.046558    (0.984375)  |  0.051575    (0.985333)  |      18.6 min  
 2.2   52.0   14716   0.100000  |  0.047519    (0.992188)  |  0.021801    (0.992667)  |      19.0 min  
